INFO 2022-04-15 11:15:48,928 autoreload 4596 4438162944 Watching for file changes with StatReloader
INFO 2022-04-15 11:15:51,611 basehttp 4596 123145548087296 "GET /news/category/5/ HTTP/1.1" 200 15333
INFO 2022-04-15 11:15:54,467 basehttp 4596 123145548087296 "GET /news/category/7/ HTTP/1.1" 200 17423
INFO 2022-04-15 11:15:56,049 basehttp 4596 123145548087296 "GET /news/news/25/ HTTP/1.1" 200 15039
INFO 2022-04-15 11:17:01,035 autoreload 4596 4438162944 /Users/macbookpro/Desktop/website_lev3/urba_web/urba_web/settings.py changed, reloading.
INFO 2022-04-15 11:18:01,636 autoreload 4657 4717854208 Watching for file changes with StatReloader
INFO 2022-04-15 11:18:05,380 basehttp 4657 123145508782080 "GET /news/category/9/ HTTP/1.1" 200 15580
INFO 2022-04-15 11:18:06,577 basehttp 4657 123145508782080 "GET /news/category/7/ HTTP/1.1" 200 17423
INFO 2022-04-15 11:18:08,010 basehttp 4657 123145508782080 "GET /news/category/5/ HTTP/1.1" 200 15333
INFO 2022-04-15 11:29:05,934 autoreload 4657 4717854208 /Users/macbookpro/Desktop/website_lev3/urba_web/home/views.py changed, reloading.
INFO 2022-04-15 11:29:09,611 autoreload 4741 4548001280 Watching for file changes with StatReloader
INFO 2022-04-15 11:35:27,594 basehttp 4741 123145528090624 "GET / HTTP/1.1" 200 17532
INFO 2022-04-15 11:35:34,755 basehttp 4741 123145528090624 "GET /admin/ HTTP/1.1" 200 18627
INFO 2022-04-15 11:35:35,469 basehttp 4741 123145544880128 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 380
INFO 2022-04-15 11:35:36,033 basehttp 4741 123145528090624 "GET /admin/ HTTP/1.1" 200 18627
INFO 2022-04-15 11:35:36,159 basehttp 4741 123145544880128 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2022-04-15 11:35:36,163 basehttp 4741 123145544880128 "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
INFO 2022-04-15 11:35:36,174 basehttp 4741 123145528090624 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2022-04-15 11:35:39,938 basehttp 4741 123145528090624 "GET /admin/auth/group/ HTTP/1.1" 200 17030
INFO 2022-04-15 11:35:39,983 basehttp 4741 123145528090624 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6932
INFO 2022-04-15 11:35:40,008 basehttp 4741 123145528090624 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2022-04-15 11:35:40,024 basehttp 4741 123145528090624 "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
INFO 2022-04-15 11:35:40,031 basehttp 4741 123145595248640 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 5984
INFO 2022-04-15 11:35:40,038 basehttp 4741 123145528090624 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2022-04-15 11:35:40,043 basehttp 4741 123145578459136 "GET /static/admin/js/core.js HTTP/1.1" 200 5698
INFO 2022-04-15 11:35:40,050 basehttp 4741 123145561669632 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 288580
INFO 2022-04-15 11:35:40,054 basehttp 4741 123145612038144 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7902
INFO 2022-04-15 11:35:40,066 basehttp 4741 123145595248640 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
INFO 2022-04-15 11:35:40,091 basehttp 4741 123145595248640 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2022-04-15 11:35:40,200 basehttp 4741 123145544880128 "GET /admin/jsi18n/ HTTP/1.1" 200 15618
INFO 2022-04-15 11:35:40,246 basehttp 4741 123145544880128 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2022-04-15 11:35:42,264 basehttp 4741 123145544880128 "GET /admin/auth/user/ HTTP/1.1" 200 21324
INFO 2022-04-15 11:35:42,334 basehttp 4741 123145595248640 "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
INFO 2022-04-15 11:35:42,375 basehttp 4741 123145595248640 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2022-04-15 11:35:42,490 basehttp 4741 123145544880128 "GET /admin/jsi18n/ HTTP/1.1" 200 15618
INFO 2022-04-15 11:35:42,552 basehttp 4741 123145544880128 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2022-04-15 11:35:50,541 basehttp 4741 123145544880128 "GET /admin/auth/user/1/change/ HTTP/1.1" 200 29746
INFO 2022-04-15 11:35:50,588 basehttp 4741 123145544880128 "GET /static/admin/css/forms.css HTTP/1.1" 200 8878
INFO 2022-04-15 11:35:50,596 basehttp 4741 123145544880128 "GET /static/admin/js/calendar.js HTTP/1.1" 200 8466
INFO 2022-04-15 11:35:50,599 basehttp 4741 123145561669632 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4360
INFO 2022-04-15 11:35:50,601 basehttp 4741 123145612038144 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19634
